Abendrothschule<br>Grundschule,Abendroth-GS@cuxhaven.de
Brüder-Grimm-Schule<br>Grundschule,gsbruedergrimm@hannover-stadt.de
Brüder-Grimm-Schule Göttingen<br>GS mit Integrations-, Sprachförder- und Sprachlernklassen,bgs@goettingen.de
Brüder-Grimm-Schule Letter<br>Verlässliche Grundschule,BGS-Letter@htp-tel.de
Brüder-Grimm-Schule Münden<br>Grundschule,grundschule-neumuenden@t-online.de
Bördeschule Schellerten-Dinklar<br>,Bs-schellerten-dinklar@t-online.de
Bürgermeister-von-Soosten-Schule<br>Grundschule Wehdel,gs-wehdel@schiffdorf.de
Bürgerschule Alfeld<br>Grundschule,abc@buergerschule.de
Bunte Grundschule Wolfsburg<br>,moormann@wolfsburg.de
Burgberg-Gymnasium und Realschule<br>in fr. Trägersch. Ersatzsch. mit Internat,organisation@burgberg-gymnasium.de
Burgbergschule<br>Grundschule,burgbergschule@katlenburglindau.de
Burg-Gymnasium<br>,sekretariat@burg-gymnasium.de
Campe-Gymnasium Holzminden<br>,verw@campegym.de
Carl-Benscheidt-Realschule<br>Realschule Alfeld,RS-Alfeld@t-online.de
Carl-Friedrich-Gauß-Schule<br>Kooperative Gesamtschule Hemmingen,info@kgshemmingen.de
Carl-Friedrich-Gauß-Schule<br>Oberschule,info@cfg-velpke.de
Carl-Friedrich-Gauß-Schule<br>Oberschule mit gym. Angebot,cfgschule@web.de
Carl-Friedrich-Gauß-Schule<br>Zeven,igs-zeven@ewe.net
Carl Friedrich Gauss-Schule<br>Grundschule Dransfeld,grundschule_dransfeld@t-online.de
Carl-Gittermann-Realschule<br>,info@rs.esens.de
Carl-Goerdeler-Schule<br>Haupt- und Realschule,hrs-jemgum@ewetel.net
Carl-Prüter-Schule<br>Oberschule,info@cps-sulingen.de
Carl-van-der-Linde-Schule Veldhausen<br>Grundschule,info@carl-van-der-linde-schule.de
Caroline-Herschel-Realschule<br>,sekretariat@chrsgarbsen.de
Castellschule Lingen<br>Grundschule f. Schüler kath. Bek.,sekretariat@gs-castellschule.de
Cato Bontjes van Beek-Gymnasium<br>,schulleitung@gymnasium-achim.de
Cäcilienschule<br>Gymnasium in freier Trägerschaft,schulbuero@caeci-whv.de
Cäcilienschule<br>Gymnasium,sekretariat@caeci.de
Christian-Albinus-Oberschule Weyhausen<br>,mail@obs-weyhausen.de
Christian-Flemes-Grundschule<br>Völksen,Christian-Flemes-Schule@Springe.de
Christian-Gymnasium Hermannsburg<br>,sekretariat@gyher.de
Christian-Henning-Schule<br>Grundschule,info@grundschule-wustrow.de
Christian-Hülsmeyer-Schule<br>Oberschule m. gymn. Angebot,barnstorf@schulnet.diepholz.de
Christianischule<br>Oberschule am Kreideberg,info@christianischule.lueneburg.de
Christian-von-Dohm-Gymnasium<br>,barbara.reichert@landkreis-goslar.de
Christliche Schule Braunschweig<br>,sekretariat@csbs.de
Christliche Schule Nordheide<br>- Ersatzschule in freier Trägerschaft -,schule@csn-buchholz.de
Christopherusschule<br>Grundschule,Christophorusschule.Vechta@t-online.de
Christophorus-Grundschule<br>Bad Zwischenahn (kath.),verwaltung@christophorus-gs.de
Christophorus Schule<br>Grundschule f. Schüler kath. Bek.,info@christophorusschule-bohmte.de
Christophorus-Schule<br>Grundschule,Gs-Christophorusschule-Twist@t-online.de
Christophorusschule<br>Katholische Grundschule Lüsche,grundschule-luesche@t-online.de
CJD Christophorusschule Elze<br>Gymnasium in freier Trägerschaft,cjd.elze@cjd.de
CJD Grundschule Adensen-Hallerburg<br>- Ersatzschule in freier Trägerschaft -,grundschule-adensen@cjd-elze.net
CJD Realschule Elze<br>Ersatzschule in freier Trägerschaft,cjd.realschule@cjd-elze.net
Clemens-August-Gymnasium<br>,buero@c-a-g.de
Clemensschule<br>Grundschule,info@clemens-schule.de
Clemens-Schule Hornburg<br>Grundschule,grundschule.hornburg@schladen.de
Comenius-Schule Berne -Grundschule-<br>,comenius-schule-berne@ewetel.net
Comeniusschule<br>Grundschule,40.011-GSCom@Hannover-Stadt.de
Copernicus-Gymnasium Löningen<br>,schulleitung@cgl-online.de
Daalerschule<br>Grundschule,daalerschule@t-online.de
Dahlhof-Schule Sülze<br>Grundschule,dhs@stadt-bergen.de
Damaschke-Schule<br>Grundschule,GSDamaschke@t-online.de
David-Fabricius Ganztagsschule<br>Oberschule Westerholt,info@hrs.holtriem.de
David-Fabricius-Grundschule<br>,mail@grundschule-osteel.de
Deichschule Schweiburg<br>Grundschule,deichschule@t-online.de
Demokratischen Schule Heureka Seevetal<br>Grundschule in freier Trägerschaft (Ersatzschule),mail@projekt-entfaltungsraeume.de
Demokratischen Schule Heureka Seevetal<br>Oberschule in freier Trägerschaft (Ersatzschule),mail@projekt-entfaltungsraeume.de
Didrik-Pining-Schule, Grundschule und<br>Förderschule mit Schwerpunkt Sprache,didrik-pining@schulen-hildesheim.de
Dieckhausschule<br>Grundschule,info@dieckhausschule.de
Diedrich-Schultze-Schule<br>Grundschule Spaden,gs-spaden@schiffdorf.de
Diesterwegschule<br>Grundschule,diesterweg-schule@osnanet.de
Dietrich-Bonhoeffer-Gymnasium<br>Großenkneten,info@dbg-ahlhorn.de
Dietrich-Bonhoeffer-Realschule<br>,Dietrich-Bonhoeffer-Realschule@Hannover-Stadt.de
Dietrich-Bonhoeffer-Realschule<br>,info.stammhaus@dbrs-gf.de
Dohnser Grundschule<br>,DohnserSchule@t-online.de
Domgymnasium<br>,sekretariat@domgymnasium-verden.de
Domschule<br>Oberschule in kirchl. Trägerschaft,sekretariat@domschule-os.de
Don-Bosco-Schule<br>Grundschule f. Schüler kath. Bek,don-bosco-schule-lutten@t-online.de
Don-Bosco-Schule Steinfeld<br>Oberschule,dbs-steinfeld@t-online.de
Drawehn-Schule Clenze<br>Kooperative Gesamtschule, Verwaltung@drawehn-schule.de
Dreienkamp-Schule<br>Verlässliche Grundschule,dreienkampschule@t-online.de
Drei-Flüsse-Realschule<br>,rs2muenden@web.de
Drei-Freunde-Grundschule<br>Schulen,grundschule.scholen@t-online.de
Drei-Religionen-Schule<br>Johannisgrundschule,info@drgs-os.de
Dr.-Klaus-Schmidt-Hauptschule<br>,Dr.Klaus-Schmidt-Hauptschule@gmx.net
Droeper-Schule<br>Grundschule,verwaltung@droeperschule.de
Dr.Wilhelm-Meyer-Gymnasium<br>Ersatzschule im CJD,schule@cjd-braunschweig.de
Döser Schule<br>Grundschule,doeser-schule@cuxhaven.de
Edith-Stein-Realschule<br>Emlichheim,schulleitung@realschule-emlichheim.de
Egelsbergschule<br>Grundschule,info@egelsbergschule.de
Egestorffschule<br>Grundschule,info@egestorffschule.de
Eichendorffschule<br>Grundschule,eichendorffschule@stadt-peine.de
Eichendorffschule<br>Grundschule f. Schüler kath. Bek.,eichendorffschule@ewe.net
Eichendorffschule<br>Grundschule f. Schüler kath. Bek,GSEichendorffschule@Hannover-Stadt.de
Eichendorffschule<br>Katholische Grundschule,schulleitung@eichendorffschule-gs-wolfsburg.de
Eichendorffschule<br>Oberschule in kirchl.Träg,Eichendorffschule@wolfsburg.de
Eichendorff-Schule<br>staatlich anerkanntes Gymnasium i.f.T.,eichendorffschule@wolfsburg.de
Eichendorffschule Schöningen<br>,rektor.eichendorffschule@t-online.de
Eichenschule<br>Gymnasium in freier Trägerschaft,verwaltung@eichenschule.de
Eichenwall-Schule<br>Grundschule,info@eichenwallschule.de
Eichhörnchen-Grundschule<br>,eichhoernchen-gs@horneburg.de
Eichsfeld-Gymnasium<br>,info@eichsfeld-gymnasium.de
Einhornschule<br>Grundschule Scharzfeld,schulleitung@einhornschule.de
Elbdeich-Grundschule Drage<br>,info@elbdeich-grundschule-drage.de
Elbe-Grundschule Tespe<br>,info@elbe-grundschule-tespe.de
Elbmarschen-Schule<br>Kooperative Gesamtschule,verwaltung@kgs-drochtersen.de
Elbtal-Grundschule<br>,elbtal-grundschule.bleckede@t-online.de
Elisabeth-Schule<br>Grundschule f. Schüler kath. Bek.,gs-elisabeth@schulen-hildesheim.de
Elisabethschule<br>Grundschule f. Schüler kath. Bek,mail@elisabethschule.net
Elisabeth-Siegel-Schule<br>,Elisabeth-Siegel-Schule@osnanet.de
Elisa-Kauffeld-Oberschule<br>,sekretariat@eko-jever.de
Elm-Asse-Schule<br>Haupt- und Realschule,info@elm-asse-schule.de
Elsa-Brändström-Schule<br>Gymnasium,Elsa-Braendstroem-Schule@Hannover-Stadt.de
Emil-Langen-Realschule<br>,emil_langen@web.de
Erich Kästner Gymnasium<br>,sekretariatekg@ekslaatzen.eu
Erich Kästner-Hauptschule<br>,hs-erich-kaestner@versus-wf.de
Erich-Kästner-Oberschule Laatzen<br>,post@eko-laatzen.de
Erich-Kästner-Realschule Tostedt<br>,schulleitung@iserv-ekrs.de
Erich-Kästner-Schule<br>Grundschule Hollage,erich-kaestner-hollage@t-online.de
Erich Kästner-Schule<br>Grundschule,info@eks-goe.de
Erich-Kästner-Schule<br>Grundschule Weddel,Erich-Kaestner@t-online.de
Erich Kästner-Schule<br>Offene Ganztagsgrundschule mit Schulkindergarten,schulleitung@gserichkaestner.de
Erich Kästner Schule Rhauderfehn<br>,schulleitung@eks-rhauderfehn.de
Erich-Maria-Remarque-Realschule<br>,rs.emr@osnanet.de
Erna-de-Vries-Schule<br>Lathen,kontakt@edvs-lathen.de
Ernst-Moritz-Arndt-Gymnasium<br>,info@emaos.de
Ernst-Moritz-Arndt-Gymnasium<br>,schulverwaltung@emag-herzberg.de
Ernst-Moritz-Arndt-Schule<br>Grundschule,gs-ema@schulen-noh.de
Ernst-Reinstorf-Schule<br>Oberschule mit gym. Zweig,sekretariat@ers-marschacht.de
Ernst-Reuter-Schule<br>Kooperative Gesamtschule Pattensen,kgs@pattensen.de
Ernst-Reuter-Schule<br>Verlässl. Grundschule / Ganztagsschule,kontakt@gs-ers.de
Erwin-Roeske-Grundschule<br>Elmendorf/Aschhausen,gs-elmendorf@bad-zwischenahn.de
Eschhofschule<br>Oberschule,eschhofschule.lemwerder@ewetel.net
Estetalschule<br>Oberschule  Hollenstedt,schulleitung@estetalschule.de
Eugen-Naumann-Schule<br>Grundschule,Eugen-Naumann-Schule-Bergen@t-online.de
Europaschule Humboldt-Gymnasium<br>,sekretariat@hg-gf.de
Evangelische IGS Wunstorf<br>,info@igs-wunstorf.de
Evangelisches Gymnasium Nordhorn<br>,sekretariat@egn-noh.de
Evangelische Waldschule Eichelkamp<br>Bilinguale Grundschule,ws.eichelkamp@evlka.de
Ev. Grundschule Schüttorf<br>f. Schüler ev. Bek,gs-kirchschule@t-online.de
Felix-Klein-Gymnasium<br>,fkg@goettingen.de
Felix-Nussbaum-Schule<br>Hauptschule im Schulzentrum Sonnenhügel,info@fns-os.de
Felix-Nussbaum-Schule<br>Oberschule mit gymn. Angebot,info@oberschule-walsrode.de
Fichteschule<br>Grundschule,gsfichteschule@hannover-stadt.de
Findorff-Realschule<br>,sekretariat@realschule-bremervoerde.de
Findorffschule<br>Grundschule,findorffschule@osterholz-scharmbeck.de
Findorff-Schule<br>Grundschule,sekretariat@gs-findorff-schule.de
Finkenburgschule<br>Grundschule,finkenburgschule@stadt.wittmund.de
Finkenburgschule<br>Grundschule,info@finkenburgschule-aurich.de
Fintauschule<br>Oberschule Lauenbrück,sekretariat@fintauschule.de
Focko-Ukena-Schule<br>Grundschule,gs.neermoor@t-online.de
Franzenburger Schule<br>Grundschule,gs-franzenburg@t-online.de
Franz-Hecker-Schule<br>Grundschule,franz-hecker-schule@osnanet.de
Franziskus-Demann-Schule<br>Oberschule,sekretariat@fds-freren.de
Franziskusgymnasium<br>in freier Trägerschaft,schule@franziskusgymnasium.de
Franziskus-Schule<br>Grundschule f. Schüler kath. Bek,franziskus-schule-lohne@t-online.de
Franziskusschule<br>Oberschule in kirchl. Trägerschaft,schulleitung@franziskus-whv.de
Franziskusschule<br>Twist,Franziskusschule.SD@t-online.de
Fröbelschule<br>Grundschule,froebelschule@htp-tel.de
Freie Aktive Schule Syke<br>,info@fas-syke.de
Freie Christliche Schule Ostfriesland<br>mit Gesamtschulcharakter i.fr.Trägerschaft,sekretariat@fcso.de
Freie evangelische Grundschule Druhwald-Bispingen<br>,schule.dw@gmail.com
Freie evangelische Schule Hannover<br>,grundschule@fesh.de
Freie Hofschule Pente<br>Grundschule,schule@hofpente.de
Freie Humanistische Schule Huntlosen<br>Grund- und Oberschule in freier Trägerschaft,info@freie-humanistische-schule.de
Freie Martinsschule -Förderschule Schw<br>Lernen und geistige Entwicklung i.fr.T,kontakt@freie-martinsschule.de
Freie Montessori-Grundschule Osnabrück<br>-Ersatzschule-,vorstand@freie-schule-osnabrueck.de
Freie Morgenrotschule Wendland<br>,info@freie-schule-wendland.de
Freie Realschule Hümmling<br>,schulleitung@freieschulehuemmling.de
Freie Schule Braunschweig<br>Grundschule in freier Trägerschaft,verwaltung@freie-schule-braunschweig.de
Freie Schule Friesland - Demokratische Grundschule Zetel<br>- Ersatzschule -,info@freies-lernen-friesland.de
Freie Schule Gleichen<br>,info@unabhaengige-schule-goettingen.de
Freie Schule Heckenbeck<br>Grund- und Oberschule,buero@freie-schule-heckenbeck.de
Freie Schule Himmelpforten<br>Grundschule,info@lernraeume-ev.de
Freie Schule Himmelpforten<br>Oberschule,info@lernraeume-ev.de
Freie Schule Hitzacker<br>,fshitzacker@web.de
Freie Schule Mittelweser<br>Grundschule u. Sek I mit bes. päd. Bedeutung,Schule@selbstbestimmt-lernen-ev.de
Freie Schule Oberndorf<br>Grundschule,info@lernart.schule
Freie Schule Oberndorf<br>Obernschule,info@lernart.schule
Freie Schule Oldenburg<br>Grundschule und Integrierte Gesamtschule, staatl. anerkannte Ersatzschule,info@freie-gesamtschule-oldenburg.de
Freie Schule Ostfriesland in Großheide<br>Grundschule,info@freie-schule-ostfriesland.de
Freie Schule Schaumburg<br>- Ersatzschule -,freieschuleschaumburg@googlemail.com
Freie Schule Weserbergland<br>,info@freie-schule-weserbergland.de
Freies Gymnasium - Ersatzschule<br>,info@freies-gymnasium-hannover.de
Freie Waldorfschule Apensen<br>Ersatzschule in freier Trägerschaft,schule@waldorf-apensen.eu
Freie Waldorfschule Benefeld<br>in freier Trägerschaft,info@fws-benefeld.de
Freie Waldorfschule Braunschweig<br>in freier Trägerschaft,schulleitung@waldorfschule-bs.de
Freie Waldorfschule Bruchhausen-Vilsen<br>- Ersatzschule m. bes. päd. Bedeutung,sekretariat@waldorfschule-bruchhausen-vilsen.de
Freie Waldorfschule Cuxhaven<br>,info@waldorfschule-cuxhaven.de
Freie Waldorfschule Evinghausen<br>in freier Trägerschaft,info@waldorfschule-evinghausen.de
Freie Waldorfschule Göttingen<br>in freier Trägerschaft,info@fws-goettingen.de
Freie Waldorfschule Hannover-Bothfeld<br>in freier Trägerschaft,info@waldorfschule-bothfeld.de
Freie Waldorfschule Hannover-Maschsee<br>in freier Trägerschaft,schulbuero@waldorfschule-maschsee.de
Freie Waldorfschule Hildesheim<br>in freier Trägerschaft,info@waldorfschule-hildesheim.de
Freie Waldorfschule Hofschule Pente<br>-Ersatzschule-,schule@hofpente.de
Freie Waldorfschule Lindenstraße Osterholz-Scharmbeck<br>- Ersatzschule in freier Trägerschaft -,schulleitung@freie-waldorfschule-lindenstrasse.de
Freie Waldorfschule Melle<br>i. fr. Tr.,verwaltung@waldorfschule-melle.de
Freie Waldorfschule Oldenburg<br>in freier Trägerschaft,info@fws-oldenburg.de
Freie Waldorfschule Ostfriesland<br>,Sekretariat@waldorfschule-ostfriesland.de
Freie Waldorfschule Sorsum e. V.<br>,info@fws-sorsum.de
Freie Waldorfschule Stade<br>in freier Trägerschaft,info@waldorfschule-stade.de
Freie Waldorfschule Wolfsburg<br>in freier Trägerschaft,waldorf-schule@wolfsburg.de
Freiherr-vom-Stein-Schule<br>Hauptschule,fvsgifhorn@gmail.com
Freiherr-vom-Stein-Schule<br>Oberschule,fvs-obs@schulen-noh.de
Freiherr-vom-Stein-Schule<br>Verlässliche Grundschule,sekretariat@freiherr-v-stein.de
Freiherr-vom-Stein-Schule Heinde (VGS)<br>Grundschule,f.v.stein.grundschule.heinde@t-online.de
Freiwind Schule - freie Schule Mardorf<br>Grundschule mit besonderer pädagogischer Bedeutung - Ersatzschule in freier Trägerschaft,info@freiwind-mardorf.de
Freudenthal-Grundschule<br>,info@freudenthalschule-soltau.de
Fridtjof-Nansen-Schule<br>Grundschule,GSFridtjofNansen@Hannover-Stadt.de
Friedensschule<br>Haupt- und Realschule,sekretariat@friedensschule-lingen.de
Friederikenschule Großheide<br>,friederikenschule@grossheide.de
Friedrich-Busse-Schule<br>Verlässliche Grundschule,schule-sibbesse@t-online.de
Friedrich-Dierks-Schule<br>Grundschule,friedrich-dierks-schule@gmx.de
Friedrich-Ebert-Schule<br>Grundschule,GSFriedrichEbert@Hannover-Stadt.de
Friedrich-Ebert-Schule<br>Grundschule,schulleitung@gs-fes.de
Friedrich-Ebert-Schule<br>Grundschule,sekretariat@friedrichebertschule.de
Friedrich-Ludwig-Jahn-Schule<br>Grundschule,info@gsjahnschule.de
Friedrich-von-Schiller-Schule<br>Grundschule,schillerschule-info@wolfsburg.de
Friesenschule<br>Realschule,info@friesenschule.de
Fritz-Reuter-Gymnasium<br>m. Aussenstelle in Clenze,verwaltung@frg-dan.de
Fritz-Reuter-Realschule<br>,Sekretariat@fritz-reuter-realschule-gf.de
Fritz-Reuter-Schule<br>KGS Bevensen,kgsbb@t-online.de
Fürstenwallschule Grundsch. Dahlenburg<br>,info@fuerstenwall-schule.de
Frya Fresena Grundschule<br>,frya-fresena-gs@grossheide.de
Ganztagsgrundschule Nord<br>,gs-nord@schulen-hildesheim.de
Ganztagsschule Drispenstedt<br>Grundschule,gts-drispenstedt@schulen-hildesheim.de
Ganztagsschule Ritterhude<br>,ganztagsschule-ritterhude@ewetel.net
Gartetalschule<br>Grundschule,info@gartetalschule-gs.de
Gaußschule<br>Gymnasium am Löwenwall,gaussschule@braunschweig.de
Gebrüder-Grimm-Schule<br>Grundschule,gebrueder-grimm-schule-geeste@t-online.de
Gebrüder-Grimm-Schule<br>Grundschule,info@ggs-gf.de
Geestlandschule Fredenbeck<br>Oberschule mit gym. Angebot,geestlandschule@geestlandschule.de
Gelbrinkschule Löningen<br>Grundschule,verwaltung@gelbrinkschule.de
Georg-Büchner-Gymnasium<br>,post@gbg-seelze.de
Georg- Chr.-Lichtenberg-Schule<br>Integrierte Gesamtschule,igs@goettingen.de
Georg-Kerschensteiner-Schule<br>Oberschule Holdorf,kontakt@gks-holdorf.de
Georg-Ruseler-Schule<br>Grundschule,gs-obenstrohe@t-online.de
Georgschule<br>Grundschule,georgschule-haren@freenet.de
Gerbertschule  Altenoythe<br>,gerbert-schule@friesoythe.de
Gerbertschule<br>Grundschule f. Schüler kath. Bek,gerbertschule@visbek.de
Gerda-Philippsohn-Schule<br>Grundschule,info@gerda-philippsohn-gs.de
Gerhart-Hauptmann-Schule<br>Grundschule,ghauptmannschule@gmx.de
Gerhart-Hauptmann-Schule<br>Realschule,RSGerhart-Hauptmann@Hannover-Stadt.de
Gertrudenschule Lohne<br>Katholische Bekenntnisschule,info@gertrudenschule.de
Gesamtschule am Wällenberg<br>KGS Hambergen,gesamtschule.hambergen@t-online.de
Gesamtschule Emsland Lingen<br>,schulleitung@gesamtschule-emsland.de
Geschwister-Scholl-Gesamtschule<br>,gsg@goettingen.de
Geschwister-Scholl-Gesamtschule<br>Kooperative Gesamtschule Göttingen,gsg@goettingen.de
