1,2,3,4,5,6,7,8,9,10,
Katholische Schule Sankt Ludwig ,Raphael (komm.) Modehn,kontakt@ludwig-gs.de,
Schule am Berg ,Thomas Przygodda,grundschuleamberg@t-online.de,
Schule am Altglienicker Wasserturm ,Marcel Mager,	info@wasserturm-schule.de,
Wendenschloß-Schule ,Thomas Matthes,wendenschloss-g.rektorat@t-online.de,
Uhlenhorst-Grundschule,Ina Jentzsch,Sekretariat@09G17.schule.berlin.de,
Edison-Grundschule,Christine Marquardt,	sekretariat@edison.schule.berlin.de,
Müggelsee-Schule ,Bernd Möhlmann,info@mueggelsee-grundschule.de,
Friedrichshagener Schule ,Yvonne Dunkel,09g27@09g27.schule.berlin.de,
Judith-Kerr-Grundschule,Eva Heitmann,	verwaltung@04G27.schule.berlin.de,
Werbellinsee-Grundschule,Sabine Schirop,sekretariat@werbellinsee.schule.berlin.de,
Havelland-Grundschule,Claudia Nicolai,	sekretariat@havelland.schule.berlin.de,
Sternberg-Grundschule,Andrea Beermann,Schulleitung@sternberg.schule.berlin.de,
Lindenhof-Grundschule,Monika Stein,sekretariat@lindenhof.schulen-ts.de,
Freie Schule am Mauerpark , Hoffmann,info@freieschuleberlin.de,
Conrad-Schule ,Hans-Gerrit Dr. Plessen,info@conrad-schule.de,
Mierendorff-Grundschule,Andreas Schnelle,schulleitung@mierendorff-schule.de,
Helmuth-James-von-Moltke-Grundschule,Isabel Marxen,	sekretariat@moltke.grundschule.berlin.de,
Schinkel-Grundschule,Gerd 	Graßmann,sekretariat@schinkel.schule.berlin.de,
Paul-Lincke-Grundschule,Sylvia Neugebauer,paul-lincke-grundschule@gmx.de,
Katholische Schule Sankt Alfons ,Florian Uske,sekretariat@kssa.schulerzbistum.de,
Marienfelder Schule ,Ingrid Fuchs,sekretariat@marienfelder.schulen-ts.de,
Nahariya-Grundschule,Petra Dr. Fleischmann,sekretariat@nahariya.schule.berlin.de,
Grundschule am Dielingsgrund,Axel Schmidt,	sekretariat@dielingsgrund.schulen-ts.de,
Ikarus-Grundschule,Daniela 	Beckmann,07g37@07g37.schule.berlin.de,
Maria-Montessori-Grundschule,Doris Lerner,sekretariat@mmg.schule.berlin.de,
Grundschule auf dem Tempelhofer Feld,Olaf Garbe,	sekretariat@tempelhoferfeld.schule.berlin.de,
Paul-Klee-Grundschule,Kerstin Schulte-Heuthaus,Sekretariat@07G22.schule.berlin.de,
Bruno-H.-Bürgel-Grundschule,Jens Otte,sekretariat@bhb.schule.berlin.de,
Mascha-Kaléko-Grundschule,Keith Zimmermann,sekretariat@mascha-kaleko-grundschule.de,
Klosterfeld-Grundschule,Katja 	Niekisch,	05G04@05G04.schule.berlin.de,
Christoph-Földerich-Grundschule,Maren 	Grimm,			foelderich-schule@t-online.de,
Siegerland-Grundschule,Sandra Schweigert,sekretariat@siegerland-schule.de,
Reinfelder-Schule,Isabell Heckelmann,post@reinfelder-schule.de,
Kiepert-Grundschule,Reiner Lüers,schulleitung@kiepert.schule.berlin.de,
Carl-Sonnenschein-Grundschule,Martje Gaehtgens,07g31@07g31.schule.berlin.de,
Ludwig-Bechstein-Grundschule,Gabi Bähnemann,06G28@gmx.de,
Mercator-Grundschule,Katrin Radjabali Fardi,schule@mercator-gs.de,
Islamische Grundschule,Meryem Ucan,igs.berlin@t-online.de,
Ludwig-Cauer-Grundschule,Elisabeth 		Wedeu-Kolhoff,	04G07@04G07.schule.berlin.de,
Jens-Nydahl-Grundschule,Claudia Deutscher,	sekretariat@jng.schule.berlin.de,
Joan-Miró-Grundschule,Wolf-Dieter Wagner,mail@joan-miro-grundschule.de,
Temple-Grandin-Schule,Stephanie 	Ahl,		Schulleitung@temple-grandin.schule.berlin.de,
Heinrich-Roller-Grundschule,Birgit Becker,sekretariat@roller.schule.berlin.de,
Homer-Grundschule,Uwe Blachnik,post@homergs.de,
Bötzow-Grundschule,Frauke Dellas,info@boetzow-grundschule.de,
Spartacus-Grundschule,Bärbel Helm,schulleitung@grundschule-friedrichshain.de,
Grundschule im Blumenviertel,Monika Helbig,	03G38@03G38.schule.berlin.de,
Lemgo-Grundschule,Christina Albert,Sekretariat@lemgo.schule.de,
Hunsrück-Grundschule,Joachim Syska,schulleitung@hunsrueck-grundschule.de,
Freie Naturschule im StadtGUT ,David Jansen,	kontakt@freie-naturschule-stadtgut.de,
Lietzensee-Grundschule,Gabriele Netzband,		sekretariat@lietzenseeschule.schule.berlin.de,
Dietrich-Bonhoeffer-Grundschule,Carola Melchert-Arlt,Sekretariat@dibog.schule.berlin.de,
Schweizerhof-Grundschule,Astrid Lewin,06G08@06G08.schule.berlin.de,
Johanna-Gerdes-Grundschule,Nicole Kerner,sec@jgg-berlin.de,
Grundschule am Hollerbusch,Heike Tietze,10G28@10G28.schule.berlin.de,
Schule am Falkplatz ,Sabine Bachmann,schulleiterin@schule-am-falkplatz.berlin,
Grundschule am Planetarium,Günter Urban,		03G08@03G08.schule.berlin.de,
Thomas-Mann-Grundschule,Christa Lietzau,03g09@03g09.schule.berlin.de,
Carl-Humann-Grundschule,Stephan Wahner,humann-grundschule@gmx.de,
Quentin-Blake-Grundschule,Ralf Müller,	schulleitung@quentin-blake.schule.berlin.de,
Grundschule im Taunusviertel,Sabine Wandscheer,sekretariat@taunusviertel.schule.berlin.de,
Erste Aktivschule Charlottenburg ,Bettina Rücker,kontakt@aktivschule-berlin.de,
Grundschule am Arkonaplatz,Ina Scheible,sekretariat@arkonaplatz.schule.berlin.de,
Papageno-Grundschule,Malgorzata Wlodarska,sekretariat@papageno-grundschule.de,
Grundschule Neues Tor,Diana Mihov,	schulleitung@01G05.schule.berlin.de,
Kastanienbaum-Grundschule,Jacqueline 	Bussée,sekretariat@kastanienbaumgrundschule.de,
KreativitätsGrundschule Berlin Lichtenberg,Nicola Richter,schule-karlshorst@krea-schulzentrum.de,
GutsMuths-Grundschule,Catrin Herfet-Sternberger,	sekretariat@gutsmuths.schule.berlin.de,
Grundschule am Brandenburger Tor,Katrin Jüdes,		sekretariat@gsabt.schule.berlin.de,
City-Grundschule,Regina Dange,Sekretariat@city.schule.berlin.de,
Jüdische Traditionsschule,Heike Michalak,schule@chabadberlin.de,
Albert-Gutzmann-Schule ,Udo Meinecke,	sekretariat@gutzmannschule.de,
Evangelische Schule Lichtenberg ,Beate Sommerfeldt,info@ev-schule-lichtenberg.de,
Johann-Georg-Elser-Schule ,Gisela Dr. Klatt,neuzeitlich-christlich@t-online.de,
Kurt-Tucholsky-Grundschule,Petra Uhlig,01g11@01g11.schule.berlin.de,
Grundschule am Hohen Feld,Marian Imke,	sekretariat@gsahf.schule.berlin.de,
Allegro-Grundschule,Bianka Flemig,berlin@allegro-grundschule.de,
Anne-Frank-Grundschule,Petra Kleiber,sekretariat@anne-frank-grundschule.de,
Moabiter Grundschule,Undine Zeibig,kontakt@moabiter-grundschule.de,
Gottfried-Röhl-Grundschule,Almut 	Mohrmann,01G24@01G24.schule.berlin.de,
Gesundbrunnen-Grundschule,Manduela Krüger,sekretariat@gesundbrunnen-grundschule.de,
Kiekemal-Schule ,Katrin Bloch,10G32@10G32.schule.berlin.de,
Rudolf-Wissell-Grundschule,Karin Jahn,Schulleitung@rudolf-wissell.schule.berlin.de,
Brüder-Grimm-Grundschule,Frank Bruno Riebesell,	sekretariat@bggs.schule.berlin.de,
Wilhelm-Hauff-Grundschule,Sandra Harder,01g29@01g29.schule.berlin.de,
Wedding-Grundschule,Philipp 	Lorenz,plorenz@wedding-schule.de,
Schulen der Pfefferwerk Stadtkultur gGmbH,Andrea; Dr. Schikora Pacius,wir-grundschule@pfefferwerk.de,
Katholische Schule Sankt Ursula ,Birgitta Wiese,sekretariat@kssu.schulerzbistum.de,
Carl-Bolle-Grundschule,Ingrid Schmidt,	info@carl-bolle-grundschule.de,
Hansa-Grundschule,Patricia Horeni,sekretariat@hansa.online,
Anna-Lindh-Schule ,Mathias Hörold,		01G42@01G42.schule.berlin.de,
Leo-Lionni-Grundschule,Angela Kartheus,info@leo-lionni-grundschule.de,
Evangelische Schule Berlin Mitte ,Kerstin Hagedorn,schule@esbm.de,
Lauterbach-Grundschule,Petra Alex,sek.12G33@lauterbach.schule.berlin.de,
Miriam-Makeba-Grundschule,Karin Nithammer-Kachel,01G47@01G47.schule.berlin.de,
Andersen-Grundschule,Fee Mergenthaler-Starke,	info@andersen-grundschule.de,
Carl-Kraemer-Grundschule,Kirsten Sümenicht,carl-kraemer-grundschule@t-online.de,
Fanny-Hensel-Grundschule,Jana 	Neubert,info@fanny-hensel-grundschule.de,
Katholische Schule Bernhard Lichtenberg , Treimer,KSBLichtenberg@t-online.de,
Katharina-Heinroth-Grundschule,Ewa Kampes,sekretariat@katharina-heinroth-grundschule.de,
Alt-Schmargendorf-Grundschule,Sabine Sülflow,	schulleitung@asg.schule.berlin.de,
Christian-Morgenstern-Grundschule,Karina Jehniche,christian-morgenstern-gs.cids@t-online.de,
Modersohn-Grundschule,Michael Eichel,Schulleitung@modersohn.schule.berlin.de,
Schule im Gutspark ,Astrid Blaß,sekretariat@gutspark.schule.berlin.de,
Bilinguale Schule Phorms Berlin Mitte,Jana Stölting,berlin-mitte@phorms.de,
Carl-Schurz-Grundschule,Constanze Rosengart,	sekretariat@05g20.schule.berlin.de,
Justus-von-Liebig-Grundschule,Wolfgang Waldeyer,	02g03@02g03.schule.berlin.de,
Grundschule am Kollwitzplatz,Janett Hartig,Sekretariat@gsak.schule.berlin.de,
Grundschule an der Marie,Jürgen Stolze,Sekretariat@marie.schule.berlin.de,
Spreewald-Grundschule,Nana 	Salzmann,Spreewald-Grundschule@gmx.de,
Finow-Grundschule,Alberta Bonacci,	sekretariat@finow.schule.berlin.de,
Grundschule am Birkenhain,Erhard Parduhn,info@grundschule-am-birkenhain.de,
Robert-Reinick-Grundschule,Jale Kaplan,sekretariat@05g11.schule.berlin.de,
Grundschule im Eliashof,Eva Behm,sekretariat@03g46.schule.berlin.de,
Bernd-Ryke-Grundschule,Kristin Nogai,info@bernd-ryke-gs.de,
Astrid-Lindgren-Grundschule,Simone Kraft,	sekretariat@lindgren.schule.berlin.de,
Katholische Schule Sankt Paulus ,Christian Sprenger,	schulleitung@st-paulus.schule,
Grundschule im Beerwinkel,Sven Olsok-Becker,schulleitung@beerwinkel.de,
Grundschule am Ritterfeld,Sven Gehrmann-Richtsteig,	schule@ritterfeld.berlin,
Sabine-Ball-Grundschule,René Schlüter,sabine-ball@christburg-campus.de,
Teltow-Grundschule,Erdmute Schendel,	sekretariat@teltow.schule.berlin.de,
Scharmützelsee-Grundschule,Gabriele Vornberger,	sekretariat@scharmuetzelsee.schule.berlin.de,
Löcknitz-Grundschule,Sabine Staron,	sekretariat@loecknitz.schule.berlin.de,
Ruppin-Grundschule,Gisela Schade-Palzkill,ruppingrundschule@web.de,
Bürgermeister-Ziethen-Schule ,Ramsay Preiß,sekretariat@buezie.schule.berlin.de,
Lew-Tolstoi-Schule ,Helene Hartmann,sekretariat@11g12.schule.berlin.de,
Robinson-Schule ,Uta Schulze,11g08@11g08.schule.berlin.de,
Grundschule an der Mühle,Christine Wolff,	schulleitung@10G11.schule.berlin.de,
Grundschule am Bürgerpark,Ute Ebel,		sekretariat@buergerpark.schule.berlin.de,
Peter-Pan-Grundschule,Katrin Wende,Sekretariat@peter-pan.schule.berlin.de,
Grundschule am Wasserwerk,Susanne Raußert-Frahm,schuastawa@t-online.de,
Wilhelmstadt Schulen,Muzaffer Toy,gymnasium@wilhelmstadtschulen.de,
Schule am Senefelderplatz,Simone 	Schumann,03g15@03g15.schule.berlin.de,
Schule an der Wuhlheide ,Joachim Luhm,	09G22@09G22.schule.berlin.de,
Hauptmann-von-Köpenick-Schule ,Monika Schmidt,hvkschule@t-online.de,
Müggelschlößchen-Schule ,Susanne Bohr,mueggelschloesschen-schule@t-online.de,
Möwensee-Grundschule,Heiko Müller,sekretariat@moewensee-schule.de,
Erwin-von-Witzleben-Grundschule,Uwe Dornbusch,erwin-von-witzleben-gs@t-online.de,
Trelleborg-Schule ,Sabine Junge,trelleborg-schule@t-online.de,
Silberstein-Schule ,Sergej Dr. Afonin,info@silberstein-schule.de,
Schule am Regenweiher ,Nicola Ringelhan,info@Grundschule-am-Regenweiher.de,
Zürich-Schule ,Heike 	Esterle,Sekretariat@zuerich.schule.berlin.de,
Schule am Teltowkanal ,Robert Himberg,	08G24@08G24.schule.berlin.de,
Fichtelgebirge-Grundschule,Dorothea Mandera-Meyer,schulleitung@fichtelgebirge.schule.berlin.de,
Nürtingen-Grundschule,Markus Schega,		sek@nuertingen.schule.berlin.de,
Bürgermeister-Herz-Grundschule,hristiane Wuntke,sekretariat@bmh.schule.berlin.de,
Thalia-Grundschule,Wolfgang Kirschstein,	Schulleitung@thalia-gs.schule.berlin.de,
Reinhardswald-Grundschule,Antje-Katrin Kirschner,	sekretariat@reinhardswald.schule.berlin.de,
Pettenkofer-Grundschule,Christiane 	Paulig,Sekretariat@pettenkofer.schule.berlin.de,
Ludwig-Hoffmann-Grundschule,Andrea Häntsch,schulleitung@l-hoffmann.schule.berlin.de,
Zille-Grundschule,Silvia Illhardt,	schulleitung@zille-grundschule.de,
Grundschule am Traveplatz,Uta Wullenbäcker,sek@gs-am-traveplatz.schule-berlin-fk.de,
Bornholmer Grundschule,Jochen Fuchs,bornholmer14@t-online.de,
Grundschule am Tegelschen Ort,Gisela Gappa,info@grundschule-tegelort.de,
Renée-Sintenis-Grundschule,Kerstin Dzembritzki,Renee.Sintenis@t-online.de,
Märkische Grundschule,Christoph Mikolajski,26.G@staatliche-Europa-schule.de,
Martin-Niemöller-Grundschule,Monika Rümpel,MN11G22@t-online.de,
Brodowin-Schule ,Doreen Eccarius,	11G17@11G17.schule.berlin.de,
Obersee-Schule ,Haik Brauer,sekretariat@obersee.schule.berlin.de,
Schule Am Faulen See ,Carmen Kenzler,schule-am-faulen-see@gmx.de,
Freie Schule Kreuzberg , N.N.,			kontakt@freieschulekreuzberg.de,
Müggelheimer Schule ,Ute Samper,	sekretariat@09g20.schule.berlin.de,
Askanier-Grundschule,Thomas Berlin,	t.berlin@askanier-gs.de,
Zeppelin-Grundschule,Heike Strehl,	info@zeppelin-gs.de,
Cecilien-Schule ,Doris Sarstedt,04G25@04G25.schule.berlin.de,
Hausburg-Grundschule,Maurice 	Balan,sekretariat@hausburg.schule.berlin.de,
Karl-Weise-Schule ,Andrea Schwenn,	08G06@08G06.schule.berlin.de,
Hermann-Boddin-Schule ,Birgit Knopf,berlin.08g07@t-online.de,
Karlsgarten-Schule ,Christine 	Mallon,berlin.08G08@versanet.de,
Michael-Ende-Schule ,Andrea Berlin,sekretariat@michael-ende.schule.berlin.de,
Christoph-Ruden-Schule ,Ira 	Gniwotta,	sekretariat@08G26.schule.berlin.de,
Oskar-Heinroth-Schule ,Susanne Möllenberg,08G27@08G27.schule.berlin.de,
Wetzlar-Schule ,Ilka 	Wentzcke,Berlin.08G29@t-online.de,
Schule am Sandsteinweg ,Heike Hertha,sekretariat@sams.schule.berlin.de,
Janusz-Korczak-Schule ,Angela Bauszus-Schumacher,sekretariat@jkgs.schule.berlin.de,
Schule am Fliederbusch ,Katrin Reinhardt,sekretariat@fliederbusch.schule.berlin.de,
Lisa-Tetzner-Schule ,Stephan Witzke,	sekretariat@08G34.schule.berlin.de,
Katholische Schule Sankt Mauritius , Souvageol,st-mauritius-grundschule@t-online.de,
Grundschule an der Pulvermühle,Jane Bosholm,sekretariat@gs-pulvermuehle.de,
Mary-Poppins-Grundschule,Stefan (komm.) Meisel,mary-poppins-grundschule@arcor.de,
Schule am Roederplatz ,Ute Daunke,sekretariat-gs-am-roederplatz@t-online.de,
Bewegte Schule Köpenick ,Christine Freese,schule-berlin@msbw-online.de,
Grundschule am Eichenwald,Sabine Dargel,Grundschule_am_Eichenwald@t-online.de,
Rudolf-Dörrier-Grundschule,Marina Zepper,info@grundschule-rosenthal.de,
Grundschule Wolkenstein,Antje 	Küchner,	sekretariat@wolkenstein.schule.berlin.de,
Grundschule im Moselviertel,Frank Neumann,sekretariat@mosel.schule.berlin.de,
Grundschule im Panketal,Klaus-Dieter Fritzenwanker,gs-im-panketal@gmx.de,
Reinhold-Otto-Grundschule,Arno 	de Vries,04G14@04G14.schule.berlin.de,
Hasengrund-Schule ,Markus Stang,sekretariat@hasengrund.schule.berlin.de,
Grundschule Am Sandhaus,Andreas Grimm,	sandhaus-gs@t-online.de,
Jeanne-Barez-Schule ,Thomas Emrich,sekretariat@jeaba.de,
Mendel-Grundschule,Christiane Bauer,mendel-schule@t-online.de,
Grundschule an der Geißenweide,Franka Dölitzsch,	sekretariat@geissenweide.schule.berlin.de,
Ernst-Ludwig-Heim-Grundschule,Marion 	Bauer,	elhg@web.de,
Victor-Gollancz-Grundschule,Mario Grasse,schule@gollancz.de,
Chamisso-Grundschule,Margit Bremer,	info@chamisso-grundschule.de,
Hausotter-Grundschule,Daniela Walter,hausotter-grundschule@gmx.de,
Randow-Schule ,Kirsten Ahrend,Sekretariat@randow.schule.berlin.de,
Schule an den Püttbergen ,Jeannine Schrepffer,Sekretariat@09G26.schule.berlin.de,
Schule am Wilhelmsberg ,Jana 	Reiter,Wilhelmsberg@t-online.de,
Grundschule unter den Bäumen,Bernd Woitinek,gudbaeumen@t-online.de,
Grundschule am Wasserturm,Marina Vogel,gsamwasserturm@freenet.de,
Grundschule Alt-Karow,Martina Neunübel,grundschule-alt-karow@gmx.de,
Nehring-Grundschule,Aina Hofmeister-Lappalainen,info@nehring-grundschule.de,
Picasso-Grundschule,Andrea (komm.) 	Scharfenort-Athanas,sekretariat@picasso.schule.berlin.de,
Schule am grünen Grund,Marion Ulbrich,	sekretariat@gruener-grund.schule.berlin.de,
Elizabeth-Shaw-Grundschule,Petra Herre,info@shaw-grundschule.de,
Grundschule an den Buchen,Claudia Malack,	sekretariat-gsbuchen@gmx.de,
Platanengrundschule,Viola Hartig,platanengrundschule@gmx.de,
Friedrichsfelder Schule ,Klaus-Dieter Pohl,Sekretariat11G23@t-online.de,
Bernhard-Grzimek-Schule ,Marielle Rosemeyer,		Sekretariat@grzimek.schule.berlin.de,
Hermann-Gmeiner-Schule ,Ulrich Negraszus,Schulleitung@gmeiner.schule.berlin.de,
Paul-Moor-Grundschule,Barbara Haensch-von Oelhafen,sekretariat@paulmoor.schule,
Wilhelm-Busch-Grundschule,Marina Kutzke,Wilhelm-Busch-GS@t-online.de,
Karl-Friedrich-Friesen-Grundschule,Manuela Kompa,K.-F.-Friesen-Grundschule@t-online.de,
Schule auf dem lichten Berg , 	Heine,schulleitung@11G05.schule.berlin.de,
Katholische Schule Salvator,Christian;  Range Dinter,	christian.dinter@kss.schulerzbistum.de,
Paavo-Nurmi-Grundschule,Dieter Stephan,nurmi-grundschule@gmx.de,
Selma-Lagerlöf-Grundschule,Volker Vettorazzi,slagerloefg@aol.com,
Freie Grundschule Pfefferwerk,Monika Schaal,grundschule@pfefferwerk.de,
Falken-Grundschule,Birgit Pense,	sekretariat@falken-gs.schule.berlin.de,
Ebereschen-Grundschule,Bernd-Roland Fromm,ebereschen-gs@hotmail.de,
Katholische Schule Herz Jesu ,Petra Buttenberg,sekretariat@kshj.schulerzbistum.de,
Schele-Schule , Waldherr,buero@Schele-Schule.de,
Lynar-Grundschule,Stefanie 	Schmiereck,		info@lynar-grundschule.de,
Grundschule am Weinmeisterhorn,Sabine Adelhoefer,gs.am.weinmeisterhorn@t-online.de,
Münchhausen-Grundschule,Antje Kretschmann,muenchhausen-gs@web.de,
Grundschule am Vierrutenberg,Heike Böttcher,		sekretariat@gs-am-vierrutenberg.de,
Grundschule in den Rollbergen,Harald Liegel,rollberge@web.de,
Grundschule an der Peckwisch,Jutta Niefeldt,	schulleitung@peckwisch.de,
Peter-Witte-Grundschule,Martina Hanelt,sekretariat@12g10.schule.berlin.de,
Borsigwalder Grundschule,Roza Maria Gerlach,sekretariat@borsigwaldergs.de,
Alfred-Brehm-Grundschule,Tatjana Schwarz,	brehm-schule@web.de,
Ellef-Ringnes-Grundschule,Cordula Hobein,sekretariat@erg.schule.berlin.de,
Grundschule am Fließtal,Verena Hinze,buero@gsfliesstal.de,
Franz-Marc-Grundschule,Bettina Münch,	sekretariat@fmg.schule.berlin.de,
Linden-Grundschule,Christoph Schubert,	sekretariat@linden-gs.schule.berlin.de,
Amtsfeld-Schule ,Bettina Schulz,amtsfeld-grundschule@t-online.de,
Erika-Mann-Grundschule,Birgit Habermann,	erika.mann.grundschule@googlemail.com,
Friedrich-Schiller-Grundschule,Falk Gläser,	sekretariat@fsg.schule.berlin.de,
Schule in der Köllnischen Vorstadt ,Andrea Hofer,schulbuero.09G18@t-online.de,
Bilinguale Schule Phorms Berlin Süd,Valèrie; Mell 	Hardt,berlin-sued@phorms.de,
Mahlsdorfer Grundschule,Antje Kienitz-Jannermann,Mahlsdorfer-Grundschule@web.de,
Grundschule am Koppenplatz,Iljana Lott,	sekretariat@koppenplatz.schule.berlin.de,
Franz-Carl-Achard-Grundschule,Petra Serbe,	Sekretariat@achard.schule.berlin.de,
Ulmen-Grundschule,Iris Pakulat,10g33@10g33.schule.berlin.de,
Heinz-Galinski-Schule ,Inken; Zinvirt Loesch,viola.bialek@jg-berlin.org,
Charles-Dickens-Grundschule,Frank Effenberger,sekretariat@charles-dickens.schule.berlin.de,
BEST-Sabel-Grundschule Kaulsdorf,Elke Grammerstorf,grundschule-kaulsdorf@best-sabel.de,
Schule Am Breiten Luch,Corinna (stellv.) Berndt,Sekretariat@11S08.schule.berlin.de,
Matibi-Schule ,Katharina Faßmann,sekretariat-11G29@t-online.de,
Elisabeth-Christinen-Grundschule,Elke Dreyer,Sekretariat@03G36.schule.berlin.de,
Klecks-Grundschule,Anna Paulus,sekretariat@klecks-grund.schule.berlin.de,
Arnold-Zweig-Grundschule,Stephanie Baer,	sekretariat@arnold-zweig.schule.berlin.de,
Schule am Hamburger Platz ,Annette Zippel,info@schule-am-hamburger-platz.de,
Grundschule am Weißen See,Kathrin Glowinski,03G17@03G17.schule.berlin.de,
Hermann-Schulz-Grundschule,Regina Knoechelmann,hermann.schulz.grundschule@googlemail.com,
Reineke-Fuchs-Grundschule,Dagmar Döntgen-Dreissig,	sekretariat@reineke-fuchs.schule.berlin.de,
Grundschule Wilhelmsruh,Holger Grenz,sekretariat@grundschule-wilhelmsruh.de,
Charlie-Chaplin-Grundschule,Annett Donath,	Sekretariat@12G32.schule.berlin.de,
Richard-Wagner-Schule ,Anja Feuerherd,sekretariat@richard-wagner.schule.berlin.de,
Schule an der Victoriastadt ,Lydia Otto,11g16@11g16.schule.berlin.de,
Johann-Strauss-Grundschule,Anett Marciniak,	sekretariat@johannstrauss.schule.berlin.de,
Grundschule unter dem Regenbogen,Christiane Knoppick,	10g14@10g14.schule.berlin.de,
Karlshorster Schule ,Dagmar Beneke,Sekr.KarlshorsterG@t-online.de,
Sonnenuhr-Schule ,Cornelia Dethloff,11G01@11G01.schule.berlin.de,
Adam-Ries-Schule ,Hans Strempel,sekretariat-11g06@gmx.de,
Fuchsberg-Grundschule,Birgit Feig,Sekretariat@fuchsberg.schule.berlin.de,
Athene-Grundschule,Christiane Andorf-Seretis,info@athene-grundschule.de,
Rose-Oehmichen-Schule ,Martina Graße,	sekretariat@08g37.schule.berlin.de,
Hans-Fallada-Schule ,Cordula Schröder,hans-fallada-schule@gmx.de,
