Käthe-Kollwitz-Gymnasium Musikgymnasium,  Herr  Zinkann, gy-kollwitz@rostock.de
Greenhouse School Graal-Müritz Integrierte Gesamtschule mit gymnasialer Oberstufe,  Herr  Kampf, info@greenhouse-school.de
Freie Schule Prerow 1. Integrierte Gesamtschule mit gym- nasialer Oberstufe und Grundschule in freier Trägerschaft,  Herr  Schaarschmidt, info@freie-schule-prerow.de
, , 
, , 
Europäische Gesamtschule Insel Usedom Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Räsch, raesch@kgs-seebad-ahlbeck.de
, , 
, , 
neue friedländer gesamtschule Verbundene Regionale Schule und Gymnasium,  Herr  Böhnke, sekretariat@nfg24.de
Don-Bosco-Schule Katholische Kooperative Gesamt- schule mit gymnasialer Oberstufe und Grundschule,  Herr  Mengel, sekretariat-ws@dbs-hro.de
Montessori Schule Integrierte Gesamtschule mit gymnasialer Oberstufe mit Grundschule,  Herr  Kleemann, info@montessori-schule-greifswald.de
Jenaplanschule Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Plant, gs-jenaplan@rostock.de
, , 
Evangelisches Schulzentrum Martinschule Integrierte Gesamtschule mit gymnasialer Oberstufe, Grundschule und Schule mit dem Förderschwerpunkt geistige Entwicklung,  Herr  Skladny, schulleitung@martinschule-greifswald.de
, , 
Privatschule Universitas Integrierte Gesamtschule mit mit gymnasialer Oberstufe und Grundschule,  Frau  Theißen, mail@universitas-rostock.de
Werkstattschule in Rostock Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Pahl, info@werkstattschule-in-rostock.de
Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Brüllke, sekretariat@kgs-altentreptow.de
ecolea - Internationale Schule Güstrow Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Kremer, gymnasium.gue@ecolea.de
RecknitzCampus Laage Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Frau  Kaleun, mail@recknitzcampus.de
Verbundene Regionale Schule und Gymnasium David Franck,  Frau  Langpap, Sekretariat@kgs-sternberg.de
, , 
Verbundene Regionale Schule und Gymnasium Rövershagen Europaschule,  Frau Dr. Wolk, gymroev@t-online.de
Reuterstädter Gesamtschule -Europaschule- Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Trautmann, reuterstaedter.gesamtschule@t-online.de
Schulcampus Rostock-Evershagen Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Tuschner, gs-schulcampus@rostock.de
Freie Schule Güstrow e.V. Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Frau  May, Freie_Schule_Guestrow@t-online.de
Michaelschule Schule mit dem Förderschwerpunkt geistige Entwicklung, Grundschule und Integierte Gesamtschule,  Herr  Bennemann, schule@michaelshof.de
Integrierte Gesamtschule Erwin Fischer ohne gymnasiale Oberstufe,  Frau  Darm, sekretariat@fischerschule-hgw.de
