Käthe-Kollwitz-Gymnasium Musikgymnasium,  Herr  Zinkann, gy-kollwitz@rostock.de
Greenhouse School Graal-Müritz Integrierte Gesamtschule mit gymnasialer Oberstufe,  Herr  Kampf, info@greenhouse-school.de
Freie Schule Prerow 1. Integrierte Gesamtschule mit gym- nasialer Oberstufe und Grundschule in freier Trägerschaft,  Herr  Schaarschmidt, info@freie-schule-prerow.de
, , 
, , 
Europäische Gesamtschule Insel Usedom Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Räsch, raesch@kgs-seebad-ahlbeck.de
, , 
, , 
neue friedländer gesamtschule Verbundene Regionale Schule und Gymnasium,  Herr  Böhnke, sekretariat@nfg24.de
Don-Bosco-Schule Katholische Kooperative Gesamt- schule mit gymnasialer Oberstufe und Grundschule,  Herr  Mengel, sekretariat-ws@dbs-hro.de
Montessori Schule Integrierte Gesamtschule mit gymnasialer Oberstufe mit Grundschule,  Herr  Kleemann, info@montessori-schule-greifswald.de
Jenaplanschule Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Plant, gs-jenaplan@rostock.de
, , 
Evangelisches Schulzentrum Martinschule Integrierte Gesamtschule mit gymnasialer Oberstufe, Grundschule und Schule mit dem Förderschwerpunkt geistige Entwicklung,  Herr  Skladny, schulleitung@martinschule-greifswald.de
, , 
Privatschule Universitas Integrierte Gesamtschule mit mit gymnasialer Oberstufe und Grundschule,  Frau  Theißen, mail@universitas-rostock.de
Werkstattschule in Rostock Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Herr  Pahl, info@werkstattschule-in-rostock.de
Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Brüllke, sekretariat@kgs-altentreptow.de
ecolea - Internationale Schule Güstrow Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Kremer, gymnasium.gue@ecolea.de
RecknitzCampus Laage Kooperative Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Frau  Kaleun, mail@recknitzcampus.de
Verbundene Regionale Schule und Gymnasium David Franck,  Frau  Langpap, Sekretariat@kgs-sternberg.de
, , 
Verbundene Regionale Schule und Gymnasium Rövershagen Europaschule,  Frau Dr. Wolk, gymroev@t-online.de
Reuterstädter Gesamtschule -Europaschule- Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Trautmann, reuterstaedter.gesamtschule@t-online.de
Schulcampus Rostock-Evershagen Kooperative Gesamtschule mit gymnasialer Oberstufe,  Herr  Tuschner, gs-schulcampus@rostock.de
Freie Schule Güstrow e.V. Integrierte Gesamtschule mit gymnasialer Oberstufe und Grundschule,  Frau  May, Freie_Schule_Guestrow@t-online.de
Michaelschule Schule mit dem Förderschwerpunkt geistige Entwicklung, Grundschule und Integierte Gesamtschule,  Herr  Bennemann, schule@michaelshof.de
Integrierte Gesamtschule Erwin Fischer ohne gymnasiale Oberstufe,  Frau  Darm, sekretariat@fischerschule-hgw.de
Grundschule Am Hellbach,  Frau  Zühlsdorf, Grundschule-Neubukow@t-online.de
Grundschule Lübow,  Frau  Schünemann, schule.luebow-mv@gmx.de
Grundschule  Lewitzrand Matzlow,  Herr  Fynnau, Grundschule.Matzlow@t-online.de
Montessori-Schule Evangelisch Integrative Grundschule mit Orientierungsstufe,  Herr  Vorfahr, montessori@neues-ufer.de
Grundschule Am Ploggensee,  Frau  Olbrisch, sekretariat@gs-ploggensee.de
Grundschule Johann Wolfgang von Goethe,  Frau  Heering, grundschule@neustadt-glewe.de
Grundschule am Mueßer Berg,  Frau  Antemann, info@grundschule-am-muesser-berg.de
Grundschule Lankow,  Frau  Schulze, grundschule_lankow2@t-online.de
Grundschule Am Friedensring,  Frau  Sagemüller, Schule-am-Friedensring@t-online.de
Grundschule Friedensschule,  Frau  Groß, Friedensschule.SN@t-online.de
Grundschule Nils Holgersson,  Frau  Pietsch, nils-holgersson-grundschule@t-online.de
Naturgrundschule Plate,  Frau  Radke, grundschule-plate@t-online.de
Grundschule Pampow,  Frau  Moll, Grundschule-Pampow@t-online.de
Grundschule Roggendorf,  Frau  Hering, schule-roggendorf@web.de
Grundschule Fritz Reuter,  Frau  Arndt, grundschule.warin@t-online.de
Grundschule An den Eichen,  Frau  Hartmann, gs-eichen@boizenburg-elbe.de
Edith-Stein-Grundschule mit Orientierungsstufe,  Frau  Löning, sekretariat@ess-lwl.de
Grundschule am Friedenshof  Wismar,  Herr  Günther, kontakt@grundschule-am-friedenshof.de
Grundschule am Friedenshof,  Frau  Krüger, GS-am-Friedenshof@wismar.de
Grundschule Fritz Reuter,  Herr  Günther, Fritz-Reuter-Schule-Wismar@t-online.de
Grundschule Sukow,  Frau  Warkentin, grundschule-sukow@t-online.de
Fritz-Reuter-Grundschule Kühlungsborn,  Frau  Baumann, grundschule-kborn@t-online.de
Grundschule Eldekinder,  Frau  Fuhrmann, info@grundschule-eldekinder.de
Grundschule Fritz Reuter,  Frau  Darnstädt, gsfr@freenet.de
Grundschule Dreveskirchen,  Frau  Rehwald-Bauer, gs_dreveskirchen@gmx.de
Grundschule Fritz Reuter,  Frau  Schubring, GS-FritzReuter-LWL@t-online.de
Grundschule Dorf Mecklenburg,  Frau  Schuster, grundschuledm@t-online.de
Grundschule Bobitz,  Frau  Zielinski, grundschule-bobitz@t-online.de
Grundschule Viktor Bausch,  Frau  Dörge, GrundschuleNeukaliss@web.de
Grundschule Selmsdorf,  Frau  Voß, sekretariat@grundschule-selmsdorf.de
Grundschule Dr. Otto Steinfatt,  Frau  Höffer, u.hoeffer@grundschule-wittenförden.de
Grundschule Fritz Reuter,  Frau  Kodanek, sekretariat@gs-fritz-reuter.de
Grundschule Ostseebad Boltenhagen,  Frau  Zimmermann, schule-in-boltenhagen@t-online.de
Grundschule Gammelin,  Frau  Lembke, grundschulegammelin@t-online.de
Stadtschule am Mühlenteich Grundschule,  Frau  Ewert, stadtschule.hagenow@t-online.de
Grundschule Techentin,  Frau  Dahnke, info@grundschule-techentin.de
Grundschule Kummer,  Frau  Borsch, grundschule.kummer@freenet.de
Goethe-Grundschule Ostseebad  Rerik,  Frau  Ruwolt, gs-rerik@t-online.de
Grundschule Carlow,  Frau  Jürß, grundschule-carlow@gmx.de
Evangelische Schule Robert Lansemann Grundschule mit Orientierungsstufe,  Frau  Wolf, info@robert-lansemann-schule.de
ORI-Grundschule Leezen,  Frau  Goy, ori-grundschule@amt-crivitz.de
Grundschule Neukloster,  Frau  Franke-Besener, info@grundschule-neukloster.de
Grundschule Schweriner Nordlichter,  Frau  Köhn, info@gs-speicherstrasse-sn.de
Grundschule Heinrich Heine,  Frau  König, H.Heine-Grundschule@t-online.de
Evangelische Schule Dr. Eckart Schwerin Grundschule mit Orientierungsstufe,  Frau  Hühne, schulbuero@ev-schule-hagenow.de
Grundschule Adolf Diesterweg Kalkhorst,  Frau  Thomsen, HRS-Kalkhorst@t-online.de
Evangelische Inklusive Schule An der Maurine Grundschule mit Orientierungsstufe,  Herr  Jarzombek-Guth, tobias.jarzombek-guth@diakoniewerk-gvm.de
Grundschule Eldena,  Frau  Ketelhöhn, eldena-grundschule@t-online.de
Ludwig-Reinhard-Grundschule,  Frau  Schilling, l.r.schule@boizenburg-elbe.de
Grundschule Seeblick,  Frau  Machau Aycan, seeblick-schule@wismar.de
Grundschule Rudolf Tarnow,  Frau  Bollbuck, Rudolf-Tarnow-Schule@Wismar.de
Grundschule Brüel,  Frau  Aselmeyer, grundschule@stadt-brueel.de
Grundschule Fritz Reuter,  Frau  Eberwein, kontakt@fritzreuterschule.de
ecolea - Internationale Grundschule gGmbH,  Frau  Kamprath, silke.hagemann@seminarcenter.de
Grundschule Theodor Körner Wöbbelin,  Frau  Podlipnik, gswoebbelin@gmx.de
Grundschule John Brinckman Europaschule,  Frau  Schmill, Grundschule_John_Brinckman@t-online.de
Freie Schule Wismar Grundschule mit Orientierungsstufe,  Frau  Nowak, info@freie-schule-wismar.de
Grundschule Boizetal Gresse,  Frau  Mittig, grundschule.gresse@web.de
Grundschule Brüsewitz,  Frau  Marek-Prahl, info@schule-bruesewitz.de
Grundschule Zum Wasserturm,  Frau  Weckwert, buero@gsneverin.de
Grundschule Kiefernheide,  Frau  Friese, gs.kiefernheide@t-online.de
Grundschule West Am See,  Frau  Tannert, gswestamsee@schulen-nb.de
Grundschule Uns lütt Schaul,  Frau  Waschk, grundschule-kargow@t-online.de
Grundschule Datzeberg,  Frau  Kamps, gs.datzeberg@schulen-nb.de
Grundschule Käthe Kollwitz,  Frau  Schuldt, gs-kaethe-kollwitz@t-online.de
Grundschule Ost Hans-Christian Andersen Europaschule,  Herr  Dräger, post@gs-nb.de
Arche Schule Evangelische Grundschule mit Orientierungsstufe,  Frau  Bielke, info@arche-schule.de
Grundschule Sandberg,  Frau  Römpagel, gs.sandberg.ntz@t-online.de
Grundschule West Parchim,  Frau  Plettner, weststadtschule@parchim.de
Grundschule Mölln,  Frau  Fichte, GSMoelln@t-online.de
Grundschule Nord am Reitbahnsee,  Frau  Mews, gs-nord@schulen-nb.de
BIP Kreativitätsgrundschule mit Orientierungsstufe in freier Trägerschaft,  Herr  Schilling, Schilling@bip-nb.de
Grundschule Altenhof,  Frau  Sünwoldt, schule-altenhof@t-online.de
Grundschule Rechlin,  Herr  Quaschning, Grundschule-Rechlin@t-online.de
Grundschule Röbel,  Frau  Schardin, Grundschule-Roebel@t-online.de
Bildungscampus Rosenow Grundschule mit Orientierungsstufe in freier Trägerschaft,  Frau  Meißner, gs-rosenow@jus-or.de
Grundschule Moltzow,  Herr  Peters, gs-moltzow@t-online.de
Grundschule Mitte Uns Hüsung,  Frau  Ristau, gsmitte@schulen-nb.de
Peeneschule Groß Gievitz Grundschule mit Orientierungsstufe,  Frau  Rathmann, peeneschule@awo-mueritz.de
Goetheschule Malchow,  Frau  Fischer, sekretariat@goetheschule-malchow.de
Grundschule Kletterrose Burg Stargard,  Frau  Schlender-Kamp, willkommen@grundschule-kletterrose.de
Grundschule Groß Godems,  Frau  Frericks, GSGr.Godems@t-online.de
Grundschule Kantor Carl Ehrich,  Frau  Beck, grundschule.plau@freenet.de
Grundschule Regenbogen Mirow,  Frau  Rühe, gsmirow@t-online.de
Grundschule John Brinckman,  Frau  Wüster, grundschule.goldberg@googlemail.com
Grundschule Lübz,  Frau  Kaltenstein, grundschule@luebz.de
Grundschule Süd Neubrandenburg,  Herr  Borchert, sued@gs-nb.de
Burgschule Wredenhagen Grundschule,  Frau  Arndt, gsburgschule@aol.com
Grundschule Dabel,  Frau  Herrmann, grundschule-dabel@t-online.de
Die andere Grundschule,  Frau  Voss, voss@die-andere-grundschule.de
Grundschule Balow,  Frau  Martens, grundschule-balow@t-online.de
Grundschule Mestlin,  Herr  Petzak, schule@mestlin.de
Daniel Sanders Grundschule,  Frau  Pauly, gs.sanders@neustrelitz.de
Grundschule Adolf Diesterweg,  Frau  Brendler-Porenski, diesterwegschule-parchim@web.de
Goethe-Grundschule Parchim,  Frau  Oberlach, goethegrundschule@parchim.de
Johannesschule Evangelische Grundschule Möllenhagen,  Herr  Quaschning, schulleitung@grundschule-moellenhagen.de
Grundschule Groß Plasten,  Herr  Kaschel, grundschule.Plasten@t-online.de
Grundschule Am Papenberg,  Frau  Schabbel, grundschule.am.papenberg.waren@t-online.de
Evangelische Grundschule mit Orientierungsstufe Neustrelitz,  Frau  Bombowsky, schule@evangelische-schule-neustrelitz.de
Evangelische Grundschule mit Orientierungsstufe Paulo Freire,  Frau  Finck, info@ev-schule-parchim.de
Grundschule Passow,  Frau  Kube, schule@gemeinde-passow.de
Grundschule Velgast,  Frau  Sperling, grundschule-velgast@gmx.de
Grundschule Thomas Müntzer,  Frau  Never, gs-thomas-muentzer@t-online.de
Grundschule Gerhart Hauptmann,  Frau  Koch, hauptmann-grundschule-schulleitung@stralsund.de
Grundschule Andershof,  Frau  Harfenmeister, grundschule-andershof@stralsund.de
Recknitz-Grundschule Ahrenshagen Umweltschule in Europa,  Herr  Telzerow, info@recknitz-grundschule.de
Grundschule Wiek,  Frau  Bonau, Grundschule-Wiek@t-online.de
Grundschule Hermann Burmeister,  Frau  Rossow, burmeister-grundschule@stralsund.de
Freie Schule Rügen Grundschule mit Orientierungsstufe,  Frau  Morawietz, info@freie-schule-ruegen.de
Grundschule Karl Krull,  Frau  Ising, schule_steinhagen@t-online.de
Grundschule Am Rugard,  Frau  Kapust, info@grundschule-am-rugard.de
Grundschule Boddenwind Putbus,  Frau  Schumacher, grundschule-putbus@t-online.de
Kranich-Grundschule Altenpleen,  Frau  Sagner, kranich.gs@t-online.de
Freie Schule Glowe Grundschule mit Orientierungsstufe,  Frau  Buss, office@freie-schule-glowe.de
Grundschule Schwalbennest Dierhagen,  Frau  Bretzke, grundschule_dierhagen@t-online.de
Montessori-Grundschule Lambert Steinwich,  Frau  Grieser-Polak, montessori-grundschule@stralsund.de
Grundschule Karsten Sarnow,  Frau  Schlimper, sarnow-grundschule@stralsund.de
Grundschule Juri Gagarin,  Frau  Wittenburg, gagarin-grundschule@stralsund.de
Evangelische Schule  Barth,  Frau  Sauer, Ev-Grundschule-Barth@t-online.de
Grundschule Theodor Bauermeister,  Frau  Sandberg, mail@bauermeisterschule.de
Grundschule Ferdinand von Schill,  Herr  Michelfeit, schill-schule@stralsund.de
Volle Halbtagsgrundschule Kranichblick Samtens,  Frau  Meißner, GSSamtens@web.de
Grundschule Altstadt,  Herr  Bonau, Grundschule_Altstadt_Bergen@t-online.de
Evangelische Grundschule Löwenzahn-Schule,  Frau Dr. Petersen, gsdamgarten@damgarten.de
Grundschule Brandshagen,  Frau  Kieschnick, gs-brandshagen@t-online.de
Zentrale Grundschule Friedrich-Adolf-Nobert,  Frau  Roßmann, nobert-schule@stadt-barth.de
Ostsee-Grundschule Graal-Müritz,  Frau  Fechtner, gs-graal-mueritz@t-online.de
Grundschule Zinnowitz,  Frau  Goetz, info@gs-zinnowitz.de
Grundschule Ostseebad Binz,  Herr  Zielke, GrundschuleOstseebadBinz@t-online.de
Grundschule Ueckertal Pasewalk,  Herr  Schwarz, sekretariat@grundschule-ueckertal.de
Grundschule Ahlbeck,  Frau  Plantikow, gs-ahlbeck-uer@t-online.de
Grundschule Gebrüder Grimm,  Frau  Manthey, gsgrimm-ank@t-online.de
Grundschule Jatznick,  Frau  Paul, grundschulejatznick@t-online.de
Vineta Grundschule Koserow,  Frau  Kamin, grundschule-koserow@t-online.de
Grundschule Ferdinandshof,  Herr  Seidler, GS-Ferdinandshof@t-online.de
Haff-Grundschule Ueckermünde,  Frau  Illgen, Grundschule-Ueckermuende@t-online.de
Pestalozzi-Grundschule,  Frau  Manteufel, Pestalozzi.grundschule@web.de
Grundschule Heringsdorf,  Frau  Vehreschild, grundschule.heringsdorf@ahlbeck.de
Grundschule Sellin,  Frau  Eckert, Grundschule.Sellin@t-online.de
Grundschule Lütt Matten Wusterhusen,  Herr  Günther, schulewusterhusen@web.de
Nikolaischule Pasewalk Evangelische Grundschule mit Orientierungsstufe,  Herr  Hartmann, Ev-Grundschule-Psw@web.de
Grundschule Pappelhain Holzendorf,  Frau  Ballach, pappelhain@aol.com
Grundschule Leopoldshagen,  Frau  Voigt, grundschule-leopoldshagen@amt-am-stettiner-haff.de
Grundschule Fritz Reuter Kröslin,  Frau  Rönnau, schule.kroeslin@web.de
Grundschule Halbinsel Jasmund,  Frau  Moldtmann, info.gs-sagard@web.de
Grundschule Fritz Reuter,  Frau  Liepe, gs-kemnitz@gmx.de
Evangelische Grundschule mit Orientierungsstufe Benz,  Frau  Hertich, benz-schule@pek.de
Evangelische Schule Wolgast,  Frau  Gehring, ev-schule-Wolgast@mail.de
Grundschule Lassan,  Frau  Drühl, Grundschule-Lassan@t-online.de
Nationalparkschule Grundschule Ostseeblick Sassnitz,  Frau  Graeber, grundschule-ostseeblick@t-online.de
Grundschule Züssow,  Frau  Maron, schulleitung@grundschule-zuessow.de
Grundschule Villa Kunterbunt,  Frau  Bölk, gs_villakunterbunt@t-online.de
Kleine Grundschule Mewegen Mewegen,  Herr  Anker, KGS.Mewegen@t-online.de
Grundschule Penkun,  Frau  Markowsky, info@grundschule-penkun.de
Grundschule Am See,  Frau  Erdmann, grundschule-loecknitz@t-online.de
Kleine Dorfschule Lassaner Winkel Grundschule mit Orientierungsstufe,  Frau  Zeiger, jt@kleine-dorfschule.de
Grundschule Wolgast,  Frau  Hannemann, grundschule-wolgast@wolgast.de
Grundschule Strasburg,  Frau  Fredrich, grundschule-strasburg@t-online.de
Grundschule Eggesin,  Frau  Blume, grundschule@eggesin.de
Grundschule Mönchgut,  Frau  Wolff, Grundschule-Moenchgut@t-online.de
Evangelische Schule Peeneburg Grundschule mit Orientierungsstufe,  Herr  Möhring, sekretariat@ev-schule-anklam.de
Grundschule Stadt Usedom,  Frau  Witt, schule-usedom@t-online.de
Grundschule Am Wall  Friedland,  Frau  Werth, grundschule.friedland@arcor.de
Grundschule Parkentin,  Frau  John, schule-parkentin@t-online.de
Grundschule Tutow,  Frau  Wegner, grundschuletutow@aol.com
Grundschule an den Weiden Rostock-Toitenwinkel,  Frau  Pagel, gr-an-den-weiden@rostock.de
Grundschule Schönfeld,  Frau  Rech, Grundschule-Schoenfeld@t-online.de
Evangelische Schule Walkendorf Grundschule mit Orientierungsstufe,  Frau Dr. Bochert, buero@schule-walkendorf.de
Grundschule Heinrich Heine,  Frau  Plaumann, gr-heine@rostock.de
Grundschule Lichtenhagen-Dorf,  Frau  Adam, gs.lichtenhagen-dorf.mv@t-online.de
Grundschule Horst,  Herr  Gruchow, grundschule.horst@t-online.de
Grundschule Grammendorf,  Frau  Buck, schulleitung@schule-grammendorf.de
Grundschule Sarow,  Frau  Engelbrecht, Grundschule-Sarow@t-online.de
Freie Schule Bützow Grundschule mit Orientierungsstufe,  Frau  Trzinski, sekretariat@hpz-buetzow.de
Werner-Lindemann-Grundschule,  Herr  Masur, gr-lindemann@rostock.de
Gehlsdorfer Grundschule,  Frau  Braun, gr-gehlsdorf@rostock.de
Grundschule Alexander Behm,  Frau  Marx, maibaum-grundschule@stadt-sternberg.de
Grundschule Rudolf Tarnow,  Frau  Schulz, gr-tarnow@rostock.de
Fritz-Reuter-Grundschule,  Herr  Riedrich, grundschule_stavenhagen@t-online.de
Grundschule Jarmen,  Frau  Reich, gs_jarmen@t-online.de
Kinderkunstakademie Greifswald Grundschule mit Orientierungsstufe,  Frau  Rodewald-Dannenberg, Kinderkunstakademie-Greifswald@ill-ev.de
Grundschule Sanitz,  Frau  Schaffus, grundschule-sanitz@t-online.de
Grundschule An der Nebel,  Frau  Wolf, GS-andernebel@guestrow.de
Grundschule und Freizeithaus am Schlossplatz,  Frau  Beuster, schulleitung1108@hotmail.de
Benjamin-Schule Evangelische Grundschule mit Orientierungsstufe Mecklenburgische Schweiz,  Herr  Hornburg, m.wild@benjamin-schule.de
Grundschule Teterow,  Frau  Wagner, grundschule@teterow.de
Grundschule Pestalozzi,  Frau  Teßenow, grundschule-malchin@t-online.de
1. Grundschule Georg Friedrich Kersting,  Herr  Grothe, kersting-gs@freenet.de
Grundschule Peenetal,  Frau  Lüdemann, GemeindeGoermin@t-online.de
Grundschule Am Mühlenberg,  Frau  Ata, koppelschule.kroepelin@t-online.de
Türmchenschule Reutershagen Grundschule,  Frau  Schwerdtfeger, gr-tuermchen@rostock.de
Grundschule Juri Gagarin,  Frau  Döring, gr-gagarin@rostock.de
Grundschule am Schmooksberg,  Frau  Weber, schule-am-schmooksberg@t-online.de
Grundschule Am Klosterberg,  Frau  Bürger, Grundschule-Altentreptow@t-online.de
Dahlien-Grundschule Bad Sülze,  Frau  Witschurke, grundschule-bs@freenet.de
Grundschule Burow,  Frau  Röder, grundschuleburow@hotmail.de
Storchenschule Cammin Grundschule mit Orientierungsstufe,  Frau  Brosig, info@storchenschule-cammin.de
Grundschule Käthe Kollwitz,  Frau  Prochnow, webmaster@kollwitz-gs.de
Grundschule De Likedeeler,  Frau  Görg, info@grundschule-likedeeler.de
Grundschule Süderholz,  Frau  Noack, anoack@suederholz.de
Grundschule Kleine Birke,  Frau  Lorenz, gr-kleine-birke@rostock.de
Landschulcampus Evangelische Grundschule,  Herr  Kammerer, grundschule@rostocker-stadtmission.de
Regenbogenkinder Grundschule Kritzmow,  Frau  Wietig, regenbogenkinder@grundschule-kritzmow.de
Grundschule Blankenhagen,  Frau  Fröhlich, grundschuleblankenhagen@web.de
Grundschule Lüssow,  Frau  Schlesiger, grundschule.luessow@t-online.de
Grundschule am Alten Markt,  Frau  Westphal, gr-alter-markt@rostock.de
Grundschule Dummerstorf,  Frau  Specht, gs-dummerstorf@gmx.de
Grundschule Heinrich Zille,  Frau  Sack, gszilledemmin@web.de
Grundschule Schmarl,  Frau  Kelsch, gr-schmarl@rostock.de
Grundschule Dargun,  Frau  Schaffrinna, info@grundschule-dargun.de
St.-Georg-Grundschule,  Frau  Roch-Haufe, gr-st-georg@rostock.de
Grundschule Bentwisch,  Frau  Lübke, info@grundschule-bentwisch.de
Grundschule Gielow Naturverbundene Leseschule,  Frau  Felgner, grundschule-gielow@t-online.de
Grundschule Lütte Nordlichter,  Frau  Lippold, schule-dersekow@t-online.de
Landschule Lüchow Grundschule,  Herr  Krüger, post@planung-liess.de
Grundschule Erich Weinert,  Frau  Bast, webmaster@weinert-gs.de
Grundschule an der Carbäk,  Herr  Käning, grundschule@amtcarbaek.de
Grundschule Am Taklerring,  Frau  Babbe, gr-taklerring@rostock.de
Evangelische Johannes-Schule Grundschule mit Orientierungsstufe,  Frau  Globisch, schulleitung@johannes-schule.net
Grundschule Reutershagen Nordwindkinner,  Frau  Wegehaupt, gr-nordwindkinner@rostock.de
Grundschule Johann Wolfgang von Goethe,  Frau  Loerzer, grundschule-gnoien@t-online.de
Grundschule am Mühlenteich,  Frau  Heinz, gr-muehlenteich@rostock.de
Grundschule Greif Greifswald,  Frau  Hennings, greif-gs-hgw@arcor.de
AWO Spatzenschule Grundschule,  Frau  Lock, info@awo-spatzenschule-neukalen.de
Christliche Münster Schule Bad Doberan Grundschule mit Orientierungsstufe,  Frau  Bönner, leitung@muensterschule-dbr.de
Grundschule am Margaretenplatz,  Frau  Beckmann, gr-margaretenplatz@rostock.de
Grundschule Lütt Matten,  Frau  Goldboom, gr-luett-matten@rostock.de
Grundschule Schwalbennest Krien,  Frau  Rost, gskrien@t-online.de
Grundschule John Brinckman,  Frau  Leiding, gr-brinckman@rostock.de
Grundschule Warnow,  Frau  Wildermuth, schule_warnow_gs@t-online.de
Lessing-Grundschule Bad Doberan,  Frau  Wolff, Lessing-Grundschule-dbr@t-online.de
Grundschule Jürgenstorf,  Frau  Wagenknecht, gs-juergenstorf@gmx.de
Grundschule Karl Krull,  Frau  Müller-Hayer, karl-krull-grundschule@web.de
Grundschule Ostseekinder,  Frau  Ritter, gr-ostseekinder@rostock.de
Kinderkunstakademie Am Wasserturm Grundschule,  Frau  Schulz, Kinderkunstakademie-b@ill-ev.de
Martin-Andersen-Nexö Grundschule,  Frau  Schmidt, nexoe-gs-hgw@arcor.de
2. Grundschule Güstrow Fritz Reuter,  Herr  Vieroth, f.reuter-gs@t-online.de
Freie Schule Bröbberow Grundschule mit Orientierungsstufe,  Frau  Drewes, info@aktivinmv.de
Diesterweg-Grundschule Loitz,  Frau  Kühn, diesterweggrundschule.loitz@loitz.de
Grundschule Abtshagen,  Frau  Ruthenberg, info@grundschule-abtshagen.de
Grundschule Friedrich Wilhelm Wander,  Frau  Rüster, gs_f_w_wander@grimmen.de
Grundschule Marlower Loris,  Frau  Röder, Grundschule-Marlow@t-online.de
Grundschule Dr. Theodor Neubauer,  Frau  Mietzner, gs_dr_th_neubauer@grimmen.de
Regionale Schule Heinrich Schliemann,  Frau  Wagner, mail@schliemannschule.de
Regionale Schule mit Grundschule,  Frau  Lehmann, regionale.schule.gdb@gmx.de
Regionale Schule Am Wasserturm,  Frau  Hallmann, schulleiter@wasserturmschule-gvm.de
Regionale Schule mit Grundschule,  Frau  Kalkhorst, schule-luetzow@t-online.de
Regionale Schule mit Grundschule Am Rietberg,  Frau  Hartstock, Regionale-Schule.Neuburg@gmx.de
Regionale Schule Friedrich Rohr,  Frau  Bloßfeld, regionaleschulegrabow@googlemail.com
Regionale Schule mit Grundschule Europaschule,  Frau  Heubner, bueromaeuse@europaschule-hagenow.eu
Regionale Schule mit Grundschule,  Herr  Klöpfel, sekretariat-gs@schule-luedersdorf.de
Regionale Schule Werner von Siemens,  Frau  Schuldt, siemenssnsl@gmx.de
Regionale Schule mit Grundschule,  Herr  Federmann, sekretariat@schule.schlagsdorf.de
Regionale Schule Peter Joseph Lenné,  Frau  Zachow, Lenne-Schule-LWL@t-online.de
Regionale Schule mit Grundschule Schule am Mühlenberg,  Frau  Grimm, regionale-schule-cambs@t-online.de
Regionale Schule Rudolf Tarnow,  Herr  Busch, verwaltung@rts-boizenburg.de
